Mean Intensity,Duration,Label
6.859,40,1
3.480547945,73,1
3.480547945,73,1
6.859,40,1
6.859,40,1
6.859,40,1
3.480547945,73,1
6.859,40,1
3.263333333,18,1
3.887142857,21,1
3.887142857,21,1
3.263333333,18,1
6.859,40,1
3.887142857,21,1
3.480547945,73,1
5.403731343,67,1
6.859,40,1
3.887142857,21,1
6.859,40,1
3.887142857,21,1
7.593333333,6,1
6.859,40,1
3.887142857,21,1
3.887142857,21,1
3.887142857,21,1
3.480547945,73,1
3.263333333,18,1
3.480547945,73,1
3.887142857,21,1
1.62,5,1
3.887142857,21,1
3.480547945,73,1
5.403731343,67,1
3.855,8,1
5.403731343,67,1
6.859,40,1
5.403731343,67,1
6.859,40,1
3.480547945,73,1
3.263333333,18,1
6.859,40,1
6.859,40,1
5.403731343,67,1
3.887142857,21,1
6.859,40,1
3.480547945,73,1
3.887142857,21,1
3.887142857,21,1
3.887142857,21,1
5.403731343,67,1
5.403731343,67,1
3.352,5,1
6.859,40,1
6.859,40,1
